document,predicted,ground_truth,precision,recall,f1_score
"Traditionally, archaeologists have recorded sites and artefacts via a combination of ordinary still photographs, 2D line drawings and occasional cross-sections. Given these constraints, the attractions of 3D models have been obvious for some time, with digital photogrammetry and laser scanners offering two well-known methods for data capture at close range (e.g. Bates et al., 2010; Hess and Robson, 2010). The highest specification laser scanners still boast better positional accuracy and greater true colour fidelity than SfM–MVS methods (James and Robson, 2012), but the latter produce very good quality models nonetheless and have many unique selling points. Unlike traditional digital photogrammetry, little or no prior control of camera position is necessary, and unlike laser scanning, no major equipment costs or setup are involved. However, the key attraction of SfM–MVS is that the required input can be taken by anyone with a digital camera and modest prior training about the required number and overlap of photographs. A whole series of traditional bottlenecks are thereby removed from the recording process and large numbers of archaeological landscapes, sites or artefacts can now be captured rapidly, in the field, in the laboratory or in the museum. Fig. 2a–c shows examples of terracotta warrior models for which the level of surface detail is considerable.","digital photogrammetry, 3d models, data capture, sfm–mvs, colour fidelity, positional accuracy, camera position, sites, archaeological landscapes, artefacts, recording process, laser scanners","terracotta warrior models, digital photogrammetry, 2d line drawings, 3d models, sfm–mvs, data capture at close range, sites, control of camera position, archaeological landscapes, artefacts, recording process, laser scanners, prior training about the required number and overlap of photographs, ordinary still photographs, digital camera, laser scanning",0.667,0.5,0.571
"A principle of high-throughput materials science is that one does not know a priori where the value of the data lies for any specific application. Trends and insights are deduced a posteriori. This requires efficient interfaces to interrogate available data on various levels. We have developed a simple WEB-based API to greatly improve the accessibility and utility of the AFLOWLIB database [14] to the scientific community. Through it, the client can access calculated physical properties (thermodynamic, crystallographic, or mechanical properties), as well as simulation provenance and runtime properties of the included systems. The data may be used directly (e.g., to browse a class of materials with a desired property) or integrated into higher level work-flows. The interface also allows for the sharing of updates of data used in previous published works, e.g., previously calculated alloy phase diagrams [19–31], thus the database can be expanded systematically.","alloy phase diagrams, calculated physical properties, crystallographic properties, runtime properties, web-based api, simulation provenance, mechanical properties, high-throughput materials science, thermodynamic properties, aflowlib database","sharing of updates of data, alloy phase diagrams, physical properties, browse a class of materials with a desired property, runtime properties, efficient interfaces to interrogate available data on various levels, interface, simulation provenance, aflowlib database",0.4,0.444,0.421
"Recent astronomical observations of high redshift type Ia supernovae performed by two groups [1–3] as well as the power spectrum of the cosmic microwave background radiation obtained by the BOOMERANG [4] and MAXIMA-1 [5] experiments seem to indicate that at present the Universe is in a state of accelerated expansion. If one analyzes these data within the Friedmann–Robertson–Walker (FRW) standard model of cosmology their most natural interpretation is that the Universe is spatially flat and that the (baryonic plus dark) matter density ρ is about one third of the critical density ρcrit. Most interestingly, the dominant contribution to the energy density is provided by the cosmological constant Λ. The vacuum energy density (1.1)ρΛ≡Λ/(8πG) is about twice as large as ρ, i.e., about two thirds of the critical density. With ΩM≡ρ/ρcrit, ΩΛ≡ρΛ/ρcrit and Ωtot≡ΩM+ΩΛ: (1.2)ΩM≈1/3,ΩΛ≈2/3,Ωtot≈1. This implies that the deceleration parameter q is approximately −1/2. While originally the cosmological constant problem [6] was related to the question why Λ is so unnaturally small, the discovery of the important role played by ρΛ has shifted the emphasis toward the “coincidence problem”, the question why ρ and ρΛ happen to be of the same order of magnitude precisely at this very moment [7].","coincidence problem, energy density, deceleration parameter, cosmological constant problem, critical density, matter density, type ia supernovae, cosmic microwave background radiation, friedmann–robertson–walker (frw) standard model, accelerated expansion, vacuum energy density, spatially flat universe, cosmological constant","ρcrit, high redshift type ia supernovae, astronomical observations, deceleration parameter, power spectrum of the cosmic microwave background radiation, q, cosmology, vacuum energy density, why ρ and ρλ happen to be of the same order of magnitude precisely at this very moment, critical density, λ, matter density, ρλ, question why λ is so unnaturally small, cosmological constant, ρ, boomerang",0.385,0.294,0.333
"Three-dimensional digital subtraction angiographic (3D-DSA) images from diagnostic cerebral angiography were obtained at least one day prior to embolization in all patients. The raw data of 3D-DSA in a DICOM file were used for creating a 3D model of the target vessel segment. These data were converted to standard triangulation language (STL) surface data as an aggregation of fine triangular meshes using 3D visualization and measurement software (Amira version X, FEI, Burlington, MA, USA). An unstructured computational volumetric mesh was constructed from the triangulated surface. Smoothing and remeshing followed as next steps. The STL file was then transferred to a 3D printer (OBJET30 Pro; Stratasys Ltd., Eden Prairie, MN, USA). The resolution of the build layer was 0.028mm, and the 3D printed vessel model was produced using acrylic resin (Vero). Following immersion in water for a few hours, the surface of the 3D printed model was smoothed by manually removing spicule.","acrylic resin, stl surface data, dicom file, 3d-dsa, cerebral angiography, 3d model, triangular meshes, 3d printed model, computational volumetric mesh, target vessel segment, 3d printer, 3d visualization","acrylic resin, objet30 pro, smoothed, embolization, remeshing, 3d printer, dicom file, 3d model, 3d printed model, vero, amira version x, 3d visualization, triangulated surface, cerebral angiography, triangular meshes, immersion in water, standard triangulation language, smoothing, measurement, computational volumetric mesh, stl",0.75,0.429,0.545
"While virtualization technologies certainly reduce the complexity of using a system, and especially when working across multiple heterogeneous computing environments, they are not widely deployed in high performance computing scenarios. As its name suggest, HPC seeks to obtain maximum performance from computing platforms. Extra software layers impact detrimentally on performance, meaning that in HPC scenarios users typically run the applications as close to the ‘bare metal’ as possible. In addition to the performance degradation introduced by virtualization technologies, choosing what details to abstract in a virtualized interface is itself very important. Grid and cloud computing support different interaction models. In grid computing, the user interacts with an individual resource (or sometimes a broker) in order to launch jobs into a queuing system. In cloud computing, users interact with a virtual server, in effect putting them in control of their own complete operating system. Both of these interaction models put the onus on the user to understand very specific details of the system that they are dealing with, making life difficult for the end user, typically a scientist who wants to progress his or her scientific investigations without any specific usability hurdles obstructing the pathway.","performance degradation, usability hurdles, virtual server, operating system, hpc, bare metal, grid computing, interaction models, cloud computing, virtualization technologies, high performance computing","virtualized interface, queuing system, virtual server, hpc, grid computing, interaction models, broker, cloud computing, virtualization technologies, applications, high performance computing",0.636,0.636,0.636
"The lateral force, Q, is measured and recorded throughout the entire test by a piezoelectric load cell which is connected to the quasi-stationary LSMB. The LSMB is mounted on flexures which provide flexibility in the horizontal direction so that the majority of the lateral force is transmitted though the much stiffer load path which contains the load cell as shown in Fig. 2. Both displacement and load sensors have been calibrated (both externally and in-situ) in static conditions. The load and displacement signals are sampled at a rate of two hundred measurements per fretting cycle at all fretting frequencies, with these data being used to generate fretting loops. The loops were used to derive the contact slip amplitude and the energy coefficient of friction in each cycle according to the method suggested by Fouvry et al. [17]. Average values for these were calculated for each test (the average coefficient of friction included values associated with the initial transients in the tests as suggested by Hirsch and Neu [18]).","piezoelectric load cell, flexures, fretting cycle, hirsch and neu, static conditions, displacement sensors, load path, initial transients, calibrated, fretting frequencies, q, fouvry et al., fretting loops, horizontal direction, contact slip amplitude, energy coefficient of friction, load sensors, quasi-stationary lsmb, lateral force","flexures, load cell, lsmb, displacement and load sensors",0.053,0.25,0.087
"When incompatible three component polymer chains are tethered at a junction point, the resultant star molecules of the ABC type are in a very frustrated field in bulk. That is, their junction points cannot be aligned on two-dimensional planes but on one-dimensional lines, as schematically shown in Fig. 1. Furthermore, when the chain length difference is not so large, the array of junction points tends to be straight and long one. Consequently each domain with mesoscopic sizes becomes cylinders, and their cross sections could be conformed by polygons [28,29]. This is because three interfaces, A/B, B/C and C/A are likely to be flat since there exist no junction points at interfaces and therefore chain entropy contribution to the free energy of structure formation is considerably small comparing with regular block and graft copolymer systems. As a matter of fact, Dotera predicted several tiling patterns by the diagonal bond method, a new Monte Carlo Simulation [30], while Gemma and Dotera pointed out that only three regular tilings, i.e., (6.6.6), (4.8.8) and (4.6.12) are permitted for three-branched molecules proposed as the “even polygon theorem” [31].","star molecules, chain entropy, abc type, mesoscopic sizes, regular tilings, cylinders, one-dimensional lines, even polygon theorem, free energy, junction points, interfaces, monte carlo simulation, diagonal bond method, frustrated field, chain length difference, three component polymer chains, two-dimensional planes, polygons","cylinders, monte carlo simulation, diagonal bond method, star molecules, chain entropy, polymer chains, polygons",0.333,0.857,0.48
"Moreover, one observes segregation effects by the XRD analysis, which probably took place at high temperature, and were partially quenched to room temperature. The phase analysis showed up to three distinct phases, which should have hence a distinct measurable phase transition temperature, if they crystallise from the liquid on the surface. In the thermograms these effects are not observable as different solidification arrest or clear inflections. The proportion of new appearing phases is small and therefore the latent heat released by this new phase will be also small. The reflected light signal technique only showed one phase change during cooling. As well, the location of this segregation cannot be determined exactly in the molten pool or later in the re-solidified material. At the surface, where the temperature is measured, the material analysis by Raman spectroscopy has not shown signs of segregation, so that also the uncertainties in composition for the phase transition are taken from the uncertainties from the XRD analysis for the most abundant phase at each composition in re-solidified material.","composition uncertainties, inflections, raman spectroscopy, phase analysis, thermograms, distinct phases, solidification arrest, re-solidified material, molten pool, high temperature, room temperature, reflected light signal technique, phase change, xrd analysis, abundant phase, latent heat, phase transition temperature, segregation effects","quenched, segregation, solidification arrest, thermograms, phase transition, molten pool, material analysis by raman spectroscopy, phase change, reflected light signal technique, crystallise, xrd analysis, latent heat, clear inflections, liquid, surface",0.389,0.467,0.424
"We have developed the theory of electrons carrying quantized orbital angular momentum. To make connection to realistic situations, we considered a plane wave moving along the optic axis of a lens system, intercepted by a round, centered aperture.88In the experiment, this aperture carries the holographic mask. It turns out that the movement along the optic axis can be separated off; the reduced Schrödinger equation operating in the plane of the aperture can be mapped onto Bessel's differential equation. The ensuing eigenfunctions fall into families with discrete orbital angular momentum ℏm along the optic axis where m is a magnetic quantum number. Those vortices can be produced by matching a plane wave after passage through a holographic mask with a fork dislocation to the eigenfunctions of the cylindrical problem. Vortices can be focussed by magnetic lenses into volcano-like charge distributions with very narrow angular divergence, resembling loop currents in the diffraction plane. Inclusion of spherical aberration changes the ringlike shape but does not destroy the central zero intensity of vortices with m≠0. Partial coherence of the incident wave leads to a rise of the central intensity minimum. It is shown that a very small source angle (i.e. a very high coherence) is necessary so as to keep the volcano structure intact. Their small angular width in the far field may allow the creation of nm-sized or smaller electron vortices but the demand for extremely high coherence of the source poses a serious difficulty.","holographic mask, lens system, discrete orbital angular momentum, central intensity minimum, vortices, magnetic lenses, eigenfunctions, loop currents, partial coherence, extremely high coherence, diffraction plane, volcano-like charge distributions, nm-sized electron vortices, spherical aberration, plane wave, central zero intensity, source angle, bessel's differential equation, electrons, quantized orbital angular momentum, optic axis, fork dislocation, far field, magnetic quantum number, volcano structure, round aperture, high coherence, angular divergence, cylindrical problem, schrödinger equation","reduced schrödinger equation, inclusion of spherical aberration, magnetic lenses, vortices, holographic mask, aperture, partial coherence, lens system, plane, angular divergence, incident wave",0.2,0.545,0.293
"An obvious metric to measure the monitoring performance between the different conditions would be to compare how many clicks the users made in average for each condition. Furthermore of interest are the buffer values of the respective buffers at the time of the user's interaction with the simulation (e.g., the input buffer of a certain machine at the time of refilling it). A relatively high average buffer value can e.g. signify that the users do not trust that the respective mode of process monitoring conveys the need for interaction in time, leading the users to switching their attention to the process simulation in regular intervals, and performing interactions just in case. A low average buffer can, on the other hand, signify that the users rely on the respective conditions’ ability to signal interaction needs. On the other hand, if e.g. an input buffer had already been completely depleted at the time of intervention, this may signify that the respective condition has failed to inform the users in time. In many cases, participants used double clicks for their interactions, while a single click would have been sufficient, a fact that was perhaps not communicated clearly enough to the participants. Therefore, if several clicks were performed directly one after another, only the first click was taken into account.","process monitoring, double clicks, buffer values, user clicks, interaction needs, signal interaction needs, intervention, depleted buffer, monitoring performance, user interaction, single click, input buffer","compare how many clicks the users made in average for each condition, buffer, buffers, simulation",0.0,0.0,0.0
"Despite the loss of directed, self-complementary hydrogen bonding through alkylation of the imidazole ring, electrostatic aggregation of imidazolium salts is a tunable, self-assembly process, which is instrumental to several applications. Imidazolium salts are used to extract metal ions from aqueous solutions and coat metal nanoparticles [15], dissolve carbohydrates [16], and create polyelectrolyte brushes on surfaces [17]. For example, atom transfer radical polymerization (ATRP) was used to graft poly(1-ethyl 3-(2-methacryloyloxy ethyl) imidazolium chloride) brushes onto gold surfaces [17]. One of the imidazolium salt’s most promising attributes is its antimicrobial action [12,18] and molecular self-assembly into liquid crystals [19,20]. 1-Alkyl-3-methylimidazolium chlorides and bromides, 1-alkyl-2-methyl-3-hydroxyethylimidazolium chlorides, and N-alkyl-N-hydroxyethylpyrrolidinonium, for example, all exhibit strong biocidal activity [18]. Hydrogels form from polymerized methylimidazolium-based ionic liquids with acryloyl groups; the polymer self-assembles into organized lamellae with unique swelling properties, leading to bioactive applications [19]. Other bioactive applications for imidazolium salts include antiarrhythmics [21], anti-metastic agents [22,23], and imidazolium-based steroids [24]. Separation applications include efficient absorption of CO2 [25]. Imidazolium salts enhance vesicle formation as imidazolium surfactants [26], and they also find application in polymeric actuators [27].","vesicle formation, self-assembly, electrostatic aggregation, imidazolium salts, carbohydrate dissolution, atom transfer radical polymerization (atrp), polyelectrolyte brushes, bioactive applications, co2 absorption, metal nanoparticle coating, antimicrobial action, liquid crystals, antiarrhythmics, anti-metastatic agents, imidazolium-based steroids, ionic liquids, imidazolium surfactants, poly(1-ethyl 3-(2-methacryloyloxy ethyl) imidazolium chloride), molecular self-assembly, polymeric actuators, metal ion extraction, hydrogels, biocidal activity","vesicle formation, electrostatic aggregation, imidazolium salts, gold surfaces, hydrogels form, metal nanoparticles, polyelectrolyte brushes, hydrogen bonding, bioactive applications, separation applications, antimicrobial action, liquid crystals, antiarrhythmics, organized lamellae, alkylation, co2, metal ions, aqueous solutions, imidazolium surfactants, polymer, carbohydrates, polymeric actuators, atrp, atom transfer radical polymerization, bromides, biocidal activity, acryloyl groups",0.478,0.407,0.44
"When we formulate the downscaling problem as a multi-objective optimization problem, we face, however, the following problems. Minimizing the sum of different objectives is problematic, since they may have different units and ranges. Even with an appropriate scaling procedure there is a risk of treating the objectives unequally or getting trapped in a local minimum. Firstly, we can never know, what is the minimum value of each objective that can be achieved by the regression. Thus, designing an appropriate scaling procedure is difficult and one would need to decide on the relative importance of the different objectives in advance. Secondly, adding multiple, conflicting objectives very likely results in a fitness function with multiple local minima, which makes optimization more difficult. To avoid these problems, we have implemented fitness calculation according to the Strength Pareto Evolutionary Algorithm (SPEA) by Zitzler and Thiele (1999), instead of using a single (weighted) fitness or cost function. Approaches for multi-objective optimization like SPEA are widely used in evolutionary computation. In SPEA the fitness calculation during the fitting procedure is based on an intercomparison of the different models. Further, a finite set of so called Pareto optimal models (downscaling rules) is returned.","strength pareto evolutionary algorithm, local minimum, multi-objective optimization, spea, scaling procedure, pareto optimal models","evolutionary computation, downscaling rules, strength pareto evolutionary algorithm, regression, fitness calculation, spea, optimization, scaling procedure, pareto optimal models",0.667,0.444,0.533
